komentar,platform,clean,sentimen
"mudah mudahan penonton film pengabdi setan 2 communion 2022 ini bisa tembus 15 juta an ke atas dan menjadi film horror dan film terlaris sepanjang masa....aaaamiiiin ya rabballalamin.... Mohon buat temen temen semua, tolong ajak temen kalian, sahabat kalian, semua keluarga kalian untuk nonton di bioskop pada tanggal 4 agustus 2022  ya guys... Jangan lupa loh,,,, mari kita semua dukung perfilman Indonesia,,, dan khusus nya juga buat film pengabdi setan 2 communion ini... Pokok nya share info info tentang pengabdi setan 2 communion ke seluruh sosial media,  temen, sahabat, keluarga, dan di lingkungan daerah tempat kalian tinggal ya guys, agar di luar sana banyak orang orang yang tau film pengabdi setan 2 communion ini,,, yang AKAN TAYANG DI SELURUH BIOSKOP pada tanggal 4 AGUSTUS 2022... jangan lupa bantu viralkan ya guys, sebar luaskan, sebelum nya saya ucapkan terima kasih banyak,,,",youtube,mudah mudah tonton film abdi setan communion tembus juta an film horror film laris masaaaaamiiiin ya rabballalamin mohon temen temen tolong ajak temen sahabat keluarga nonton bioskop tanggal agustus ya guys lupa loh mari dukung film indonesia khusus nya film abdi setan communion pokok nya share info info abdi setan communion sosial media temen sahabat keluarga lingkung daerah tinggal ya guys orang orang tau film abdi setan communion tayang bioskop tanggal agustus lupa bantu viralkan ya guys sebar luas nya ucap terima kasih,netral
Kok gw lbh rela ps yg bakal cetak sejarah film paling rame dr pada film horror yg kmrn wkwk ya moga aja ini jg bakal rame,youtube,gw lbh rela ps yg cetak sejarah film rame dr film horror yg kmrn wkwk ya moga aja jg rame,netral
"nah ini baru bergenre horor kuantitas dan kualitas sudah terbukti, semoga yg ke 2 tidak mengecewakan",youtube,genre horor kuantitas kualitas bukti moga yg kecewa,netral
ga bakalan bisa pengabdi setan 2 kalahin penontonnya kkn paling mentok 5 jt,youtube,ga abdi setan kalahin tonton kkn mentok jt,netral
Yg di tunggu tunggu nih,youtube,yg tunggu tunggu nih,netral
0:40,youtube,,netral
yok bisa yok nyaingin KKN di Desa Breakdancer,youtube,yok yok nyaingin kkn desa breakdancer,netral
gue masi trauma sama yg pertama.. semoga yang sequelnya jauh lebih baik. Aamiin,youtube,gue mas trauma yg moga sequelnya aamiin,netral
"Moga gak ada tarian+lagu bang jono,
Meresahkan pikiran 😆",youtube,moga gak tarianlagu bang jono resah pikir,netral
Waiting fo so long 😁,youtube,waiting fo so long,netral
Duh tak sabar menanti masterpice selanjutnya,youtube,duh sabar masterpice,netral
Yg viewers 9jt+ 75℅ berakhir dengan penyesalan,youtube,yg viewers jt sesal,netral
waduh mas joko bikin pilem horor lagi. kapan sri asih nya nih? sebelah udah duluan gatotkaca 😁,youtube,mas joko bikin pilem horor sri asih nya nih belah udah duluan gatotkaca,netral
"Gatotkaca udah, Pengabdi Setan 2 udah, Sri Asih kmna nih?",youtube,gatotkaca udah abdi setan udah sri asih kmna nih,netral
ibu? bu? wibuuuuuu?,youtube,bu wibuuuuuu,netral
"Gini doang atmosfer sama suasananya udah serem , mana ditambahin 'bonus' lagi.",youtube,gin doang atmosfer suasana udah rem ditambahin bonus,netral
Ini film horor yang layak dapat penonton di atas 8 juta penonton,youtube,film horor layak tonton juta tonton,netral
Ini kelasan A24 si,youtube,kelas a si,netral
"Jgn terlalu ekspektasi bakal melebihi KKN cuy, banyak faktor kenapa KKN bisa 9 juta+. Momen rilisnya pas liburan itu yg paling pengaruh, sama faktor viral jauh hari.

Pengabdi setan 2 bisa 5 juta + aja udah bagus kok",youtube,jgn ekspektasi lebih kkn cuy faktor kkn juta momen rilis pas libur yg pengaruh faktor viral abdi setan juta aja udah bagus,positif
"Kalo mnrut sy sih ya, bkn efek kluarga Rini pindah k gedung itu, tp emg kebetulan aja kluarga Rini pindah k gedung yg ada pemimpin sekte2 sesat  yaitu batara dan darminah. jd emg Batara dan darminah udh sengaja ngumpulin korbannya d gedung itu. Dan sy setuju kalo Ian jd junjungan sekte sesat itu, krna ian dr film yg prtma d sebutin sbg titisan anak iblis. Semoga film ini bnr2 jd film trbaik walaupun ga jd yg trlaris. Krna atmosfer horornya bakalan kental bgt, d tambah jln ceritanya yg menakjubkan. Smg aja sesuai ekspektasi ya. 🙏",youtube,kalo mnrut sy sih ya bkn efek kluarga rini pindah k gedung tp emg aja kluarga rini pindah k gedung yg pimpin sekte sesat batara darminah jd emg batara darminah udh sengaja ngumpulin korban d gedung sy tuju kalo ian jd junjung sekte sesat krna ian dr film yg prtma d sebutin sbg titis anak iblis moga film bnr jd film trbaik ga jd yg trlaris krna atmosfer horor kental bgt d jln cerita yg takjub smg aja sesuai ekspektasi ya,netral
Wina bukan Nina😂,youtube,wina nina,netral
 @Junapyrey  bukan VINA kali... vina garut...🤣,youtube,junapyrey vina kali vina garut,netral
Kaya nya wina deh bukan nina 😅,youtube,kaya nya wina deh nina,netral
Bisa jadi sihhh,youtube,sihhh,netral
Berarti setelah si bapak lihat pocong2 pada sujud ke Ian si bapak dibunuh ya oleh para syaitan???,youtube,si lihat pocong sujud ian si bunuh ya syaitan,netral
 @mikhailabdurrachman2443  yang lihat bukan si bapak. Tapi si pak budiman,youtube,mikhailabdurrachman lihat si si budiman,netral
"Yep.. aga gimana gtu liat KKN Desa Penari yg overrated bisa jd film horror terlaris di indonesia.. padahal film nya biasa aja

Nah pengabdi setan 2 ini harusnya klo beneran lebih bagus dan lebih horror dari yg pertama, seharusnya bisa pecahin lagi rekor 8.8 juta penonton..",youtube,yep aga gimana gtu liat kkn desa tari yg overrated jd film horror laris indonesia film nya aja abdi setan klo beneran bagus horror yg pecahin rekor juta tonton,positif
" @reviewdenny5730  kalo biasa aja gak mungkin orang pada excited nonton + cari cari lokasi asli nya ya pasti ada sesuatu yg menarik ,udah rejeki nya para pemain dan kru film nya padahal lama kepending kirain bakal anyep nyatanya malah pecah di malaysia juga sama kaya diindo kalo mau nonton harus war tiket juga",youtube,reviewdenny kalo aja gak orang excited nonton cari cari lokasi asli nya ya yg tarik udah rejeki nya main kru film nya pending kirain anyep pecah malaysia kaya diindo kalo nonton war tiket,netral
Mudah2 an tembus 20 juta.. kkn 8 juta film kaga jelas..bagusan juga tje doll 3,youtube,mudah an tembus juta kkn juta film kaga jelasbagusan tje doll,positif
"kenapa si, kok keknya pada ga senang bgt sama kkn di desa penari",youtube,si kek ga senang bgt kkn desa tari,netral
" @phssupremacy8811  yaa gimana ya, mudah dipahami sebenernya soalnya pecinta horor pasti ga seneng kalo film yg ga serem/horor sama sekali malah dapet predikat horor terlaris sepanjang masa😅

kesannya patokan horor movie indo kita lebih ke kuantitas dibanding kualitas... (bukan berarti KKN jelek, lumayan bagus si cuma memang ga mencekam sesuai genre nya yg horor)",youtube,phssupremacy yaa gimana ya mudah paham sebenernya cinta horor ga neng kalo film yg ga seremhoror dapet predikat horor laris kesan patok horor movie indo kuantitas banding kualitas kkn jelek lumayan bagus si ga cekam sesuai genre nya yg horor,positif
" @phssupremacy8811  Iya ih, aku pecinta film horor, tapi gak segitunya ngebenci film kkn, soalnya enjoyable dan punya pesan moral yang kuat, secara kualitas improvement lah dari film2 danur universe",youtube,phssupremacy iya ih cinta film horor gak segitunya ngebenci film kkn enjoyable pesan moral kuat kualitas improvement film danur universe,netral
Biasanya sekuel horror lebih jelek dri sblumnya sih...,youtube,sekuel horror jelek dri sblumnya sih,negatif
 @Sebastian36962  gpp bakalan tetep nonton kalo bang jokan sebagai sutradara wkkw. Tiap Film nya punya easter egg dan benang merah dari film pertama nya janji joni,youtube,sebastian gpp tetep nonton kalo bang jok sutradara wkkw film nya easter egg benang merah film nya janji joni,netral
" @Sebastian36962  mungkin emang kalo film2 itu terutama horror mending jangan sekuel ya, ganti cerita baru wkkwk",youtube,sebastian emang kalo film horror mending sekuel ya ganti cerita wkkwk,netral
 @Sebastian36962  gak Juga,youtube,sebastian gak,netral
Momentnya kalah sama pas kkn rilis,youtube,momentnya kalah pas kkn rilis,netral
Film terbaik belum tentu jadi film terlaris.,youtube,film baik film laris,netral
Trauma tapi nagih ya 😂,youtube,trauma nagih ya,netral
Serem fixx https://youtu.be/jXxf9J3ntGs,youtube,rem fixx httpsyoutubejxxfjntgs,netral
Jujur takut bgt ->> https://youtu.be/jXxf9J3ntGs,youtube,jujur takut bgt httpsyoutubejxxfjntgs,netral
Yg bikin upi utk sri asih bukan joko,youtube,yg bikin upi utk sri asih joko,netral
Sri asih tayang di kuartal ketiga tahun ini (antara Juli sampe September) dan untuk sutradaranya sendiri adalah Upi,youtube,sri asih tayang kuartal tiga juli sampe september sutradara upi,netral
"Sesuai pengumumannya, Sri asih tayang di kuartal ketiga tahun ini (antara Juli sampe September)",youtube,sesuai umum sri asih tayang kuartal tiga juli sampe september,netral
" @Junapyrey  mntap, gw gregetan nungguin, teasernya aja blm mncl udh bkin gregetan",youtube,junapyrey mntap gw gregetan nungguin teasernya aja blm mncl udh bkin gregetan,netral
 @Junapyrey  emng udh syuting nya?,youtube,junapyrey emng udh syuting nya,netral
"Enak aja, pengabdi setan yang kemarin kan dirilis di 24 Negara. kalau KKN??",youtube,enak aja abdi setan kemarin rilis negara kkn,netral
" @davidalmadova  setau sih baru Brunei, Malay, singapore",youtube,davidalmadova tau sih brunei malay singapore,netral
 @davidalmadova  tapi baru kali ini loh mau nonton film harus war tiket,youtube,davidalmadova kali loh nonton film war tiket,netral
"Kalo menurut gw sih kurang lebih sama kayak pertama lah
Kalo melebihi dari yang pertama. Keren pada nonton yang kedua tanpa nonton yang pertama 😂",youtube,kalo gw sih kayak kalo lebih keren nonton nonton,positif
" @IrfanR  bisa aja, pada nonton setelah tayang di bioskop, misal waktu pernah di tv atau situs2 lain",youtube,irfanr aja nonton tayang bioskop tv situs,netral
Semoga banyak masuk Nominasi FFI kayak film perempuan tanah jahanam sampe dapet film terbaik di FFI 2020,youtube,moga masuk nominasi ffi kayak film perempuan tanah jahanam sampe dapet film baik ffi,netral
"Lah.. Ngigo lu ya, yg berekspetasi demikian siapa?",youtube,ngigo lu ya yg berekspetasi,netral
" @reynaalfian869  diluar sana banyak tante,tapi kok tante panas ? minum es lah",youtube,reynaalfian luar tantetapi tante panas minum es,netral
" @reynaalfian869  slow, saya juga dukung kok per film an indo, coba liat komen di bawah, sama di sosmed lain banyak komen bernada seperti itu",youtube,reynaalfian slow dukung film an indo coba liat komen sosmed komen nada,netral
" @reynaalfian869  gausah ke trigger, emang udh banyak yg berekspetasi terlalu tinggi kok",youtube,reynaalfian gausah trigger emang udh yg berekspetasi,netral
"gaperlu ""sukses enggaknya"" yg penting mah lebih bagus dan lebih serem aja cukup 👍",youtube,gaperlu sukses yg mah bagus rem aja,positif
" @kazehazeee  iyap, harapan ane sih ini, incar kualitasnya itu poin utama saya, masalah pendapatan, bisa lebih dari yg pertama aja udh bagus bgt meski ga dapet momen kek sebelah yg 9 juta",youtube,kazehazeee iyap harap ane sih incar kualitas poin utama dapat yg aja udh bagus bgt ga dapet momen kek belah yg juta,positif
"Faktanya emg yg terlaris bukan selalu yg terbaik..... kkn banyak yg nonton tp yg review filmnya biasa aja jg gk kalah banyak........ yg bikin kkn selaris ini jg gk lepas dri gimmick “based on a true story”,  orang Indonesia looooove kata2 based on a true story terlepas dri bener ato gknya, krn itu bisa jd ladang marketing dalem bentuk perdebatan di media",youtube,fakta emg yg laris yg baik kkn yg nonton tp yg review film aja jg gk kalah yg bikin kkn selar jg gk lepas dri gimmick based on a true story orang indonesia looooove based on a true story lepas dri bener ato gknya krn jd ladang marketing dalem bentuk debat media,netral
" @winter6849  gimik gimana ? Itu beneran kisah nyata cek yt nya kisah tanah jawa ,malah lebih rumit cerita nya dari yg di filmkan dan di thread",youtube,winter gimik gimana beneran kisah nyata cek yt nya kisah tanah jawa rumit cerita nya yg film thread,netral
"kok jadi banding2in gini? dari banyaknya penonton pula... Espektasi penggemar film itu bkn soal byk2an yg nonton, tp dr kualitas narasi ceritanya. misal pengabdi setan 2 yg nonton gak seramai KKN Desa Penari ya gpp juga, yg penting buat org yg suka sm film2 Joko Anwar, yg dah tau kualitas film Joko Anwar, bisa espektasi filmnya akan bagus.",youtube,bandingin gin banyak tonton espektasi gemar film bkn bykan yg nonton tp dr kualitas narasi cerita abdi setan yg nonton gak serama kkn desa tari ya gpp yg org yg suka sm film joko anwar yg dah tau kualitas film joko anwar espektasi film bagus,positif
"KKN jumlah penonton doangg banyak alur nya sih baguss cuman gak horor aja ,beda kelas sama film nya mas Joko Anwar",youtube,kkn tonton doangg alur nya sih baguss cuman gak horor aja beda kelas film nya mas joko anwar,positif
"Gak juga sih menurut gua skrg ini penonton indonesia dan antusias penonton terutama horror semakin banyak , dlu mungkin cmn 4 juta karna yg pertama tayang di 2017 dimana hampir lima tahun yg lalu",youtube,gak sih gua skrg tonton indonesia antusias tonton horror dlu cmn juta karna yg tayang mana yg,netral
" @muhammadbachtiar8441  Yap setuju, memang horor punya tempatnya di indo, tapi ga bisa nge sampingkan faktor faktor kek yg saya sebut di atas, itu jelas berpengaruh besar",youtube,muhammadbachtiar yap tuju horor tempat indo ga nge samping faktor faktor kek yg pengaruh,netral
"00:39 bro, itu benerankan??",youtube,bro benerankan,netral
"Horror dengan artian sesungguhnya, tanpa adegan hot",youtube,horror arti sungguh adegan hot,netral
HADEEEEUUUH HARUS BURU2 PESEN TIKET NYA DARI SEKARANG BIAR GAK KEHABISAN,youtube,hadeeeeuuuh buru sen tiket nya biar gak habis,netral
Tadi pas ada gambar pengabdi setan 2nya ada pocong nungging gila sih katanya 12 lantai terror yang paling seram katanya di lantai 2nya masa sih,youtube,pas gambar abdi setan nya pocong nungging gila sih lantai terror seram lantai nya sih,positif
"gelap bangettt mati lampu yak, tapi ttp d tunggu",youtube,gelap bangettt mati lampu yak ttp d tunggu,netral
gile.. atmosfer nya bener2 menyeramkan ini film,youtube,gile atmosfer nya bener seram film,positif
INGET LOH FILM TERLARIS BUKAN MENJADIKAN SUATU FILM MENJADI FILM TERBAIK DUH WKWK😛,youtube,inget loh film laris jadi film film baik duh wkwk,netral
"Wihh. Joko anwar ingin mencoba biar PS 2 sama memorablenya seperti yg pertama. Memakai ibu"" lagi & pakai suara lonceng"" lagi. Noiceeeeee detail bang joko. I like it",youtube,wihh joko anwar coba biar ps memorablenya yg pakai pakai suara lonceng noiceeeeee detail bang joko i like it,netral
Gak sabar guahhhh....😂👍,youtube,gak sabar guahhhh,netral
"doa terbaik buat film PS 2 ini, semoga tembus belasan juta penonton....aaamiiinn,, ,,, ayok bantu promosikan dan  trendingkan dimana mana, biar banyak yang nonton....",youtube,doa baik film ps moga tembus bas juta penontonaaamiiinn ayok bantu promosi trendingkan mana biar nonton,netral
0:40 Apaan tuh?😰,youtube,tuh,netral
"teasernya kek gini doang, terlalu diriahasiakan 😭😭",youtube,teasernya kek gin doang diriahasiakan,netral
Pengambilan gambarnya kereeen niiii,youtube,ambil gambar kereeen niiii,netral
0:39 COBA DIPERLAMBAT GES ADA POCONG NUNGGING NYAA🤣✌,youtube,coba lambat ges pocong nungging nyaa,netral
Gass 10jt penonton.. tanpa viral² an dan gimmick² an,youtube,gass jt tonton viral an gimmick an,netral
0:40 ada scene pocong sujud,youtube,scene pocong sujud,netral
"Kirain , keren gitu teaser nya... padahal dari kemaren udah di tungu2... lah.....🤣 .... berharap sih... beberapa sin gambarnya ga gelap gelapan mulu...kaya danur 3 kemarin,.. payah",youtube,kirain keren gitu teaser nya kemaren udah tungu harap sih sin gambar ga gelap gelap mulukaya danur kemarin payah,positif
"vibenya serem bgt, visualnya juga keren",youtube,vibenya rem bgt visual keren,positif
Kenapa Gak Minimal 4 Minute  Sih Min😀😀😀,youtube,gak minimal mute sih min,netral
siapasihh nina😮,youtube,siapasihh nina,netral
Beneran 4 agustus 2022 di bioskop 😂,youtube,beneran agustus bioskop,netral
Ini film latarnya tahun 90-an jadi maklum lah listrik di jaman itu nggak sama kaya sekarang.,youtube,film latar an maklum listrik jaman nggak kaya,netral
ciee mba nya panas sama kkn awowkkk lawak lu mba,youtube,ciee mba nya panas kkn awowkkk lawak lu mba,netral
" @luxverre8726  lucu kadang liat orang orang setelah nonton kkn pada nyesel, gak sesuai ekspetasi, trus filmnya di jelek jelekin, dibandingin juga wkwk",youtube,luxverre lucu kadang liat orang orang nonton kkn nyesel gak sesuai ekspetasi trus film jelek jelekin dibandingin wkwk,negatif
Tetapi menjadi film berkualitas daripada yang lainnya wkwk,youtube,film kualitas wkwk,netral
kak ini beda cerita apa lanjutan dri PS 1 ya?,youtube,kak beda cerita lanjut dri ps ya,netral
 @rahmahmaulida3469  gk tau si. Tapi ditrailer tokoh-tokohnya baru. Cuman katanya bang Joko. Disini bakal ngejawab beberapa misteri yg ada di PS pertama. So keknya kalo lu mau ngerti ceritanya mending tonton yang pertama dulu,youtube,rahmahmaulida gk tau si trailer tokohtokohnya cuman bang joko ngejawab misteri yg ps so kek kalo lu ngerti cerita mending tonton,netral
 @rahmahmaulida3469  kayak nya hantu ibu akan berseteru dengan darminah tapi gak tau juga sih kiat liat aja nanti,youtube,rahmahmaulida kayak nya hantu seteru darminah gak tau sih kiat liat aja,netral
"gue yakin pasti pecah banget nih film, soalnya gue & temen temen udah nungguin banget. karna menurut gue film horor indo yang nomor 1 masih dimenangin sama pengabdi setan",youtube,gue pecah banget nih film gue temen temen udah nungguin banget karna gue film horor indo nomor dimenangin abdi setan,netral
" @enggitaputri3010  sama,,, temen temen , Sahabat, dan keluarga gue pengen nonton bareng gue di bioskop nanti tanggal 4.8.22... mereka nungguin juga,,,",youtube,enggitaputri temen temen sahabat keluarga gue ken nonton bareng gue bioskop tanggal nungguin,netral
" @enggitaputri3010  tapi faktanya film ini dikalahin sma Kkn di desa Penari, yg mana menjadi film terlaris sepanjang sejarah perfilman Indonesia. 😢",youtube,enggitaputri fakta film dikalahin sma kkn desa tari yg film laris sejarah film indonesia,netral
 @enggitaputri3010  film Horor indo yang menurut gua Joss banget pengabdi setan sebelum iblis menjemput ratu ilmu hitam perempuan tanah jahanam kafir Sabrina rumah dara,youtube,enggitaputri film horor indo gua joss banget abdi setan iblis jemput ratu ilmu hitam perempuan tanah jahanam kafir sabrina rumah dara,netral
"Anjir, ak mikirnya sekilas PS 2 tuh PlayStation 2 🙈",youtube,anjir ak mikirnya kilas ps tuh playstation,netral
 @Iychoenk  wkwkwkwkw itu singkatan Trend buat film Pengabdi Setan kak... PS 2 = Pengabdi Setan 2 communion :),youtube,iychoenk wkwkwkwkw singkat trend film abdi setan kak ps abdi setan communion,netral
 @Iychoenk  Astaga tuhan 😭😭,youtube,iychoenk astaga tuhan,netral
Pasti njir,youtube,njir,netral
" @yams9353  iya ajak temen, sahabat, keluarga kamu yaa nonton di bioskop... Mari kita support film PS 2 communion",youtube,yams iya ajak temen sahabat keluarga yaa nonton bioskop mari support film ps communion,netral
Mampir ke yuk,youtube,mampir yuk,netral
"kalo soal bagus yakin. cuma buat nyalip yg itu, susah sih. apalagi bukan momen lebaran, di mana bocah bisa nonton tanpa minta uang dari ortunya",youtube,kalo bagus nyalip yg susah sih momen lebaran bocah nonton uang ortunya,positif
" @adyp5833  bisa aja kak, kita gak akan pernah tau apa yang terjadi kedepan nya,,,,",youtube,adyp aja kak gak tau depan nya,netral
"Kita buktikan saja nanti, bener gak",youtube,bukti bener gak,netral
" @yamacarlos5979  ya liat aja nanti, mudah mudahan tembus dan sesuai harapan,,, aaamiiin",youtube,yamacarlos ya liat aja mudah mudah tembus sesuai harap aaamiiin,netral
Semoga ada ps 3 4 dan 5,youtube,moga ps,netral
 @Ammarynnn  aaaamiiiin,youtube,ammarynnn aaaamiiiin,netral
 @Ammarynnn  aaaamiiiin,youtube,ammarynnn aaaamiiiin,netral
Amin ayo viralkan,youtube,amin ayo viralkan,netral
" @biosferid  aaaamiiin ayo kak viral kan, biar semakin banyak org org tau dan menonton ke bioskop .... Semangat kak, terima kasih :)",youtube,biosferid aaaamiiin ayo kak viral biar org org tau tonton bioskop semangat kak terima kasih,netral
Klo bantu promosiin dpt fee gpp dah 😂,youtube,klo bantu promosiin dpt fee gpp dah,netral
" @somewhereonlyweknow4095  aku aja gak dapat apalagi kk, wkwkwkwkwkwwk inti nya aku seneng, dan bahagia aja sih dukung film pengabdi setan ,,,, karna ini tentang kualitas kak.... Hehe you know la kak....",youtube,somewhereonlyweknow aja gak kk wkwkwkwkwkwwk inti nya neng bahagia aja sih dukung film abdi setan karna kualitas kak hehe you know la kak,netral
"Yuks support guys, kkn aja 9 juta penonton moga ini bisa lebih",youtube,yuks support guys kkn aja juta tonton moga,netral
" @shinytv1690  yuk yuk semangat yuk, kasih tau ke temen, sahabat, keluarga kita, untuk nonton ke bioskop 4 agustus 2022 nanti",youtube,shinytv yuk yuk semangat yuk kasih tau temen sahabat keluarga nonton bioskop agustus,netral
10jt wajib sih,youtube,jt wajib sih,netral
" @yandesutawan  wajib banget,,,, film berkualitas.... Banyak yg nunggu2 PS 2 ini bro",youtube,yandesutawan wajib banget film kualitas yg nunggu ps bro,netral
 @andrewbear556  laaa emang LOE penting buat gua????? Sama gak penting juga...,youtube,andrewbear laaa emang loe gua gak,netral
" @andrewbear556  yaa bagi gua kagak masalah,,,,mau dapat, mau kagak, bukan urusan loe,,, gua seneng dan bahagia aja bisa support film yang gua suka banget...",youtube,andrewbear yaa gua kagak masalahmau kagak urus loe gua neng bahagia aja support film gua suka banget,positif
"PS 1 aja promonya gak segencar film KKN bisa tembus 4 juta lebih, apalagi PS 2 Insyaallah bisa lah jadi film terlaris no 1 di Indonesia tanpa gimmick sex scene uncut.",youtube,ps aja promonya gak gencar film kkn tembus juta ps insyaallah film laris no indonesia gimmick sex scene uncut,netral
" @pajriyanoor4508  kayaknya bisa .... Btw KKN desa penari gak termasuk flim horor , tapi Misteri ...",youtube,pajriyanoor kayak btw kkn desa tari gak flim horor misteri,netral
"Pasti, kaya film kkn desa penari, baru premier langsung jutaan orang yg nonton",youtube,kaya film kkn desa tari premier langsung juta orang yg nonton,netral
 @paulusputranto9697  aaaamiiiin terima kasih banyak.....,youtube,paulusputranto aaaamiiiin terima kasih,netral
"Yakin sih ini meledak,,, fix 15 juta penonton",youtube,sih ledak fix juta tonton,netral
 @liamuhammad9203  kita  tunggu aja hasilnya,youtube,liamuhammad tunggu aja hasil,netral
Justru jangan dispoiler biar nambah seru,youtube,dispoiler biar nambah seru,netral
"Najis amat promosi kaga dibayar ..
Bayar dulu baru promosi..
Enak bnget gratisan",youtube,najis promosi kaga bayar bayar promosi enak bnget gratis,netral
"Malahan mendingan kkn walaupun gk horor dan gk ada adegan bunuh²an tapi bisa mengkasih Tau negara luar kalo indonesia punya banyak banget keberagaman contoh nya tarian di indo banyak bettt jenis² tarian dan musik² contoh nya kek gamelan sinden.

Emg kayak pengabdi syaiton ending nya anehh gk nyambung ama cerita sebenarnya masa anak bungsu nya  jadi syaitonnn sangat anehhh,,kalo kkn kann nyambung ending nya si ayu dan bima dapet hukuman, si ayu nari setapak Demi setapak di hutan dan si bima harus mematuhi perintah badarawuhi dan satu lagii tempat nya adaa di ~banyuwangi~",youtube,mending kkn gk horor gk adegan bunuh kasih tau negara kalo indonesia banget agam contoh nya tari indo bettt jenis tari musik contoh nya kek gamelan sinden emg kayak abdi syaiton ending nya anehh gk nyambung ama cerita anak bungsu nya syaitonnn anehhhkalo kkn kann nyambung ending nya si ayu bima dapet hukum si ayu nari setapak setapak hutan si bima patuh perintah badarawuhi lagi nya adaa banyuwangi,netral
 @wildaataya6831  hadehhh hargain aja sih apa susah nya,youtube,wildaataya hadehhh hargain aja sih susah nya,netral
 @wildaataya6831  kkn mendingan halal di banding kkn jauh ivana kaman mana lhaa kkn film viral penonton nyaa banyak bocil,youtube,wildaataya kkn mending halal banding kkn ivana kam lhaa kkn film viral tonton nyaa bocil,netral
" @wildaataya6831  setuju sih, kalo pengabdi setan itu lebih ke horor nya negara luar ga sih ? Yg endingnya ujung2nya tentang sekte. Kaya paranormal activity, the unholly,  midsomar, hereditary, etc
Kalo KKN, emng lebih Indonesia sih. Mengangkat cerita tent budaya Indonesia ke mata dunia. Selain itu ceritanya pun orisinil dan ga mainstream. (Hantunya bukan pocong dan kuntilanak)",youtube,wildaataya tuju sih kalo abdi setan horor nya negara ga sih yg endingnya ujung sekte kaya paranormal activity the unholly midsomar hereditary etc kalo kkn emng indonesia sih angkat cerita tent budaya indonesia mata dunia cerita orisinil ga mainstream hantu pocong kuntilanak,netral
Coba diliat lagi pas di detik 0:40 Kak diterangin layarnya dan di perlambat speed videonya terlihat jelas ada penampakan,youtube,coba liat pas detik kak angin layar lambat speed video tampak,netral
"Mana kaga ada,cuma warna merah doang sama tulisan 4 agustus",youtube,kaga adacuma warna merah doang tulis agustus,netral
 @longtiger7404  cuman ada beberapa frame bang,youtube,longtiger cuman frame bang,netral
"pocongnya sujud gaes, tpi gk tau sujud nya kemana,,,",youtube,pocong sujud gaes tpi gk tau sujud nya mana,netral
Tonton diperlambat sekaligus di pause pd detik 0:39 or 0:40,youtube,tonton lambat pause pd detik or,netral
"Ntar kalo banyak yang nonton juga viral, laku namanya wkwkwk gimana si",youtube,ntar kalo nonton viral laku nama wkwkwk gimana si,netral
"betulll,tanpa viral dan gimmick2an, di suguhkan STORY TELLING yg jelas dan detail",youtube,betullltanpa viral gimmickan suguh story telling yg detail,netral
"Sabar, baru teaser awal nih, coba paus detik 40 ada pocong berjamaah sujud",youtube,sabar teaser nih coba paus detik pocong jamaah sujud,netral
Udh Kayak Insidious soundnya serem bet Wkkw,youtube,udh kayak insidious soundnya rem bet wkkw,netral
4 menit trailer masuknya,youtube,menit trailer masuk,netral
 @ASFvlogofficial  Maksd Gw Mau Pake Bhsa Inggris🤣🤣🤣🤣,youtube,asfvlogofficial maksd gw pake bhsa inggris,netral
Bedain antara teaser sama trailer ya,youtube,bedain teaser trailer ya,netral
 @taurusstory6796  Itu Di Thumbanil Nya Kan Ada Nama Trailer ??Mau Bilang Apa Sekarang!!!,youtube,taurusstory thumbanil nya nama trailer bilang,netral
"di Detik ke 40 ada foto yang ditampilkan sekilas berupa scene dimana beberapa Pocong membungkuk duduk dengan kepala menyentuh lantai, asli itu cuplikan tiba-tiba bikin merinding T___T",youtube,detik foto tampil kilas scene mana pocong bungkuk duduk kepala sentuh lantai asli cuplik tibatiba bikin merinding tt,netral
KEREN BANGET ASTAGA GAK SABAR!!!,youtube,keren banget astaga gak sabar,positif
"Ini nih keren, yang setuju jadi film horor terbagus like guys! 🔥🔥😎",youtube,nih keren tuju film horor bagus like guys,positif
"Sekalian sama Ratu Ilmu Hitam 2 🔥🔥🔥🔥🔥 Lebih serunya lagi jika film Ratu Ilmu Hitam 2 ditambah dengan cast karakter baru seperti Clift Sangra, Marissa Anita, Widika Sidmore, Karina Salim, Lutesha, Baskara Mahendra, Arya Vasco, Angga Yunanda, Iqbaal Ramadhan, Gusty Rayhan, Omara Gesthal, Debo Andryos, Widuri Putri, Kafin Sulthan, Ardhito Pramono, Yoriko Angeline + Dian Sastrowardoyo pasti seru bisa terlibat dalam film sekuel ke 2 nya Ratu Ilmu Hitam. Tenang sebagian cast dari sekuel pertama masih tetap ada kok 😁 hehehe.",youtube,ratu ilmu hitam seru film ratu ilmu hitam tambah cast karakter clift sangra marissa anita widika sidmore karina salim lutesha baskara mahendra arya vasco angga yunanda iqbaal ramadhan gusty rayhan omara gesthal debo andryos widuri putri kafin sulthan ardhito pramono yoriko angeline dian sastrowardoyo seru libat film sekuel nya ratu ilmu hitam tenang cast sekuel hehehe,netral
"Ini baru film horor indonesia terbaik, tanpa harus ada embel embel gimmick film ini bakalan laris dengan sendirinya👏",youtube,film horor indonesia baik embel embel gimmick film laris,netral
